id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1330223738856607745,1330223738856607745,2020-11-22 00:27:08 India Standard Time,2020-11-22,00:27:08,+0530,1329767191999258625,dnvharshendra,Harshendra DNV,,Tanq @Bharathbiotech n @oxford 4 vaccine. Expecting speedy output.,en,"[{'screen_name': 'oxford', 'name': 'oxford', 'id': '12293892'}]",[],[],0,0,0,[],[],https://twitter.com/DnvHarshendra/status/1330223738856607745,False,,0,,,,,,,,[],,,,
1330210461552402436,1330209928028545029,2020-11-21 23:34:22 India Standard Time,2020-11-21,23:34:22,+0530,345343377,iamranjithkatta,RanjιтнKυмar Kaттa,,"@Trendulkar I don't know about other country vaccines but if the Bharath Biotech vaccine works, will definitely get one",en,[],[],[],0,0,1,[],[],https://twitter.com/IamRanjithKatta/status/1330210461552402436,False,,0,,,,,,,,"[{'screen_name': 'Trendulkar', 'name': 'Trendulkar', 'id': '65851020'}]",,,,
1329946697309491200,1329868627189714945,2020-11-21 06:06:16 India Standard Time,2020-11-21,06:06:16,+0530,1098545739863601153,telugu_vaaru,Kya bola kya bola (ఏమంటివి ఏమంటివి),,@omarali50 Asrtazenca vaccine is being manufactured in large scale even before trails by serum india (hoping it will succeed)  Govt in talks with pfizer.  Russians are beginning some testing in india for sputnik  Indian pharma gaint bharath biotech vaccin called covaxin in advansed trails,en,[],[],[],0,0,0,[],[],https://twitter.com/Telugu_vaaru/status/1329946697309491200,False,,0,,,,,,,,"[{'screen_name': 'omarali50', 'name': 'omar ali', 'id': '24001226'}]",,,,
1329686857160933379,1329686344390516739,2020-11-20 12:53:45 India Standard Time,2020-11-20,12:53:45,+0530,976715176450732033,janasena_t,Raja Sekhar Reddy,,"@Ramakri51670200 @Hidderkaran No, bharath biotech is in advance",en,[],[],[],1,0,0,[],[],https://twitter.com/janasena_t/status/1329686857160933379,False,,0,,,,,,,,"[{'screen_name': 'Ramakri51670200', 'name': 'Ramakrishna S ✊✊✊', 'id': '1035717639379726336'}, {'screen_name': 'Hidderkaran', 'name': '—「Kaͥraͣnͫ 」💤', 'id': '152290443'}]",,,,
1329622035094401025,1329622035094401025,2020-11-20 08:36:11 India Standard Time,2020-11-20,08:36:11,+0530,1136796638683418624,kuumuttai,கூமுட்டை,,Covid vaccineல எது கிடைச்சா போட்டுக்குவீங்க ? Bharath Biotech's Covaxin or any Foreign brand ?,en,[],[],[],1,0,0,[],[],https://twitter.com/kuumuttai/status/1329622035094401025,False,,0,,,,,,,,[],,,,
1328542085847257089,1328542085847257089,2020-11-17 09:04:51 India Standard Time,2020-11-17,09:04:51,+0530,829564095892385792,airnews_chennai,AIR News Chennai,,கோவிட்-19 தொற்றுக்கான கோவாக்ஸின் தடுப்பூசியின் மூன்றாம் கட்ட பரிசோதனையை தொடங்கவிருப்பதாக பாரத் பயோடெக் நிறுவனம் தெரிவித்துள்ளது. #biotech #bharathbiotech #vaccine #India  https://t.co/BrMDM8VMBc,ta,[],[],['https://pbs.twimg.com/media/Em_twskUYAA60Jx.png'],0,0,20,"['biotech', 'bharathbiotech', 'vaccine', 'india']",[],https://twitter.com/airnews_Chennai/status/1328542085847257089,False,,1,https://pbs.twimg.com/media/Em_twskUYAA60Jx.png,,,,,,,[],,,,
1328370507608059905,1328370507608059905,2020-11-16 21:43:03 India Standard Time,2020-11-16,21:43:03,+0530,64998280,ignitedbrain,CM by Birth ! ಚನ್ನಮಲ್ಲಿಕಾರ್ಜುನ್ 🇮🇳,,Bharath Biotech 100% @BharatBiotech,hi,"[{'screen_name': 'bharatbiotech', 'name': 'bharatbiotech', 'id': '2590932906'}]",[],[],0,0,1,[],[],https://twitter.com/IgnitedBrain/status/1328370507608059905,False,https://twitter.com/alokebajpai/status/1328367337943121923,0,,,,,,,,[],,,,
1327269474907557888,1327268901827215360,2020-11-13 20:47:56 India Standard Time,2020-11-13,20:47:56,+0530,1261685038065881092,caucus_hindu,Caucus: The Discussion Forum of Hindu College,,#covid #vaccine #coronavirus #pandemic #vaccination #freevaccine #covid19 #Oxford #seruminstitute #pfizer #astrazeneca #sputnik5 #covishield #bharathbiotech (3/3)  https://t.co/Ohm849OxDy,und,[],[],"['https://pbs.twimg.com/media/EmtohZCVQAIgOtE.jpg', 'https://pbs.twimg.com/media/EmtoisOUYAAmxqB.jpg']",0,2,5,"['covid', 'vaccine', 'coronavirus', 'pandemic', 'vaccination', 'freevaccine', 'covid19', 'oxford', 'seruminstitute', 'pfizer', 'astrazeneca', 'sputnik5', 'covishield', 'bharathbiotech']",[],https://twitter.com/caucus_hindu/status/1327269474907557888,False,,1,https://pbs.twimg.com/media/EmtohZCVQAIgOtE.jpg,,,,,,,[],,,,
1324911658330853376,1324911658330853376,2020-11-07 08:38:49 India Standard Time,2020-11-07,08:38:49,+0530,695604338815709185,joy_mammen,Joy Mammen,,Questions:  Age - will it work in elderly? Immune response = Clinical efficacy? India's first approval for human trial: Bharath Biotech- COVAXIN; ZYDUS CADILA ZYCOV-D - DNA vaccine (no other DNA vaccine for any Infectious disease in the world currently),en,[],[],[],0,0,2,[],[],https://twitter.com/joy_mammen/status/1324911658330853376,False,,0,,,,,,,,[],,,,
1324906410765791233,1324906408375017472,2020-11-07 08:17:58 India Standard Time,2020-11-07,08:17:58,+0530,695604338815709185,joy_mammen,Joy Mammen,,"Inactivated Vaccines in India: Bharath Biotech -ICMR - COVAXIN completed Ph1; Phase 2 ongoing; Involved: dr. Priya Abraham,  Director NV and Dr. Sunil David (CMCV Batch 1981)",en,[],[],[],0,0,0,[],[],https://twitter.com/joy_mammen/status/1324906410765791233,False,,0,,,,,,,,[],,,,
